GEOID,NAME,POPULATION
37071,"Gaston County, North Carolina",230856
37081,"Guilford County, North Carolina",542410
37085,"Harnett County, North Carolina",135966
37089,"Henderson County, North Carolina",116829
37097,"Iredell County, North Carolina",191968
37101,"Johnston County, North Carolina",226504
37109,"Lincoln County, North Carolina",89670
37119,"Mecklenburg County, North Carolina",1122276
37125,"Moore County, North Carolina",102763
37127,"Nash County, North Carolina",95176
37129,"New Hanover County, North Carolina",229018
37133,"Onslow County, North Carolina",206160
37135,"Orange County, North Carolina",148884
37147,"Pitt County, North Carolina",172169
37151,"Randolph County, North Carolina",145172
37155,"Robeson County, North Carolina",116328
37157,"Rockingham County, North Carolina",91266
37159,"Rowan County, North Carolina",148150
37171,"Surry County, North Carolina",71152
37179,"Union County, North Carolina",243648
37183,"Wake County, North Carolina",1150204
37191,"Wayne County, North Carolina",116835
37193,"Wilkes County, North Carolina",65806
37195,"Wilson County, North Carolina",78369
38015,"Burleigh County, North Dakota",98933
38017,"Cass County, North Dakota",186562
38035,"Grand Forks County, North Dakota",72705
38101,"Ward County, North Dakota",69071
39003,"Allen County, Ohio",101670
39007,"Ashtabula County, Ohio",97337
39013,"Belmont County, Ohio",65849
39017,"Butler County, Ohio",390234
39023,"Clark County, Ohio",135633
39025,"Clermont County, Ohio",209642
39029,"Columbiana County, Ohio",101310
39035,"Cuyahoga County, Ohio",1249387
39041,"Delaware County, Ohio",220740
39043,"Erie County, Ohio",74852
39045,"Fairfield County, Ohio",161064
39049,"Franklin County, Ohio",1321414
39055,"Geauga County, Ohio",95565
39057,"Greene County, Ohio",168412
39061,"Hamilton County, Ohio",826139
39063,"Hancock County, Ohio",74656
39085,"Lake County, Ohio",232023
39089,"Licking County, Ohio",180401
39093,"Lorain County, Ohio",315595
39095,"Lucas County, Ohio",429191
39099,"Mahoning County, Ohio",226762
39101,"Marion County, Ohio",65291
39103,"Medina County, Ohio",183092
39109,"Miami County, Ohio",109264
39113,"Montgomery County, Ohio",535840
39119,"Muskingum County, Ohio",86408
39133,"Portage County, Ohio",162382
39139,"Richland County, Ohio",125195
39141,"Ross County, Ohio",76891
39145,"Scioto County, Ohio",73346
39151,"Stark County, Ohio",373834
39153,"Summit County, Ohio",537633
39155,"Trumbull County, Ohio",201335
39157,"Tuscarawas County, Ohio",92500
39165,"Warren County, Ohio",246553
39169,"Wayne County, Ohio",116710
39173,"Wood County, Ohio",132472
40017,"Canadian County, Oklahoma",161737
40027,"Cleveland County, Oklahoma",297597
40031,"Comanche County, Oklahoma",122063
40037,"Creek County, Oklahoma",72029
40101,"Muskogee County, Oklahoma",66146
40109,"Oklahoma County, Oklahoma",798575
40119,"Payne County, Oklahoma",81989
40125,"Pottawatomie County, Oklahoma",73019
40131,"Rogers County, Oklahoma",96695
40143,"Tulsa County, Oklahoma",672858
40145,"Wagoner County, Oklahoma",84050
41003,"Benton County, Oregon",96017
41005,"Clackamas County, Oregon",422537
41017,"Deschutes County, Oregon",204801
41019,"Douglas County, Oregon",111978
41029,"Jackson County, Oregon",223734
41033,"Josephine County, Oregon",88346
41035,"Klamath County, Oregon",70164
41039,"Lane County, Oregon",383189
41043,"Linn County, Oregon",129839
41047,"Marion County, Oregon",347119
41051,"Multnomah County, Oregon",803377
41053,"Polk County, Oregon",89164
41059,"Umatilla County, Oregon",79988
41067,"Washington County, Oregon",600811
41071,"Yamhill County, Oregon",108239
42001,"Adams County, Pennsylvania",104127
42003,"Allegheny County, Pennsylvania",1238090
42005,"Armstrong County, Pennsylvania",65093
42007,"Beaver County, Pennsylvania",166624
42011,"Berks County, Pennsylvania",429342
42013,"Blair County, Pennsylvania",121767
42017,"Bucks County, Pennsylvania",646098
42019,"Butler County, Pennsylvania",194273
42021,"Cambria County, Pennsylvania",132167
42025,"Carbon County, Pennsylvania",65412
42027,"Centre County, Pennsylvania",157527
42029,"Chester County, Pennsylvania",538649
42033,"Clearfield County, Pennsylvania",80082
42039,"Crawford County, Pennsylvania",83351
42041,"Cumberland County, Pennsylvania",262919
42043,"Dauphin County, Pennsylvania",287400
42045,"Delaware County, Pennsylvania",573849
42049,"Erie County, Pennsylvania",269011
42051,"Fayette County, Pennsylvania",126931
42055,"Franklin County, Pennsylvania",156289
42063,"Indiana County, Pennsylvania",82886
42069,"Lackawanna County, Pennsylvania",215663
42071,"Lancaster County, Pennsylvania",553652
42073,"Lawrence County, Pennsylvania",85497
42075,"Lebanon County, Pennsylvania",143493
42077,"Lehigh County, Pennsylvania",375539
42079,"Luzerne County, Pennsylvania",326053
42081,"Lycoming County, Pennsylvania",113605
42085,"Mercer County, Pennsylvania",109972
42089,"Monroe County, Pennsylvania",169273
42091,"Montgomery County, Pennsylvania",860578
